Mean: 12.534966739729597, Std: 0.14177177656409357
Mean: 11.934962767749283, Std: 0.14478301530965831
Mean: 12.728483131897999, Std: 0.1825881618496954
Mean: 12.249028481158913, Std: 0.2131382693226595
Mean: 12.242771544197144, Std: 0.17080748475334095
Mean: 12.668607218224423, Std: 0.15578432543276008
Mean: 12.444002478391154, Std: 0.22174790532135602
Mean: 12.362151084105914, Std: 0.174361494429051
Mean: 12.815472010401123, Std: 0.19843060192565498
Mean: 12.85137308074791, Std: 0.14686655806419355
Mean: 12.227599244347507, Std: 0.16720118465556594
Mean: 12.549094033880493, Std: 0.15501433507048373
Mean: 12.392613079013694, Std: 0.1689843089640707
Mean: 12.903730464041328, Std: 0.27234913903555297
Mean: 12.338659317220415, Std: 0.171839914101997
Mean: 12.847544020938122, Std: 0.13953359087505857
Mean: 12.499991910798702, Std: 0.17483459021806536
Mean: 12.438879248282328, Std: 0.1342705807284893
Mean: 12.533745701248629, Std: 0.1425274896383045
Mean: 12.520656549380528, Std: 0.18381069412846418
Mean: 12.774854842207949, Std: 0.1998118471275587
Mean: 12.47161747022397, Std: 0.13549675817185036
Mean: 12.946298581464998, Std: 0.2206505554106588
Mean: 12.430742393261038, Std: 0.23329103665720274
Mean: 12.817641526195786, Std: 0.17629641949705044
Mean: 12.908315777089749, Std: 0.18345657270495916
Mean: 12.472563792261386, Std: 0.18689983091781576
Mean: 12.977679314648764, Std: 0.12363644401149845
Mean: 13.041733246454125, Std: 0.19458621860096942
Mean: 12.454658320397822, Std: 0.09683268984205622
Mean: 12.217147152884873, Std: 0.1916617013148869
Mean: 12.006221506776663, Std: 0.13016592119817966
Mean: 12.359626034154616, Std: 0.2032647382062322
Mean: 12.774636026938111, Std: 0.09953264887688748
Mean: 12.304476388191437, Std: 0.18747629729870274
Mean: 12.599776426657124, Std: 0.2059611893062499
Mean: 12.550301851206495, Std: 0.11151380179106304
Mean: 12.46855368179576, Std: 0.15079654047946642
Mean: 12.537437666083912, Std: 0.21475979767496262
Mean: 12.409792918140205, Std: 0.13219789302118765
Mean: 12.189031891326565, Std: 0.1569138499651767
Mean: 12.49911318227137, Std: 0.21897189550135282
Mean: 12.256931410781004, Std: 0.1883636205506247
Mean: 12.332512705296917, Std: 0.24200347312500034
Mean: 12.233145942581762, Std: 0.13658727524069
Mean: 12.213725247487588, Std: 0.13384329675771547
Mean: 12.21801866323578, Std: 0.14376938644355813
Mean: 12.155941781431165, Std: 0.22956036655751316
Mean: 12.784838168651115, Std: 0.14793486506663608
Mean: 12.68319890374988, Std: 0.17911309144037396
Mean: 12.485842849560662, Std: 0.18917990125928788
Mean: 12.539599322008769, Std: 0.1964642666169078
Mean: 12.296114422289907, Std: 0.12544436913549786
Mean: 12.248099629126637, Std: 0.18640419478711776
Mean: 12.546982135128628, Std: 0.19058302232210517
Mean: 12.387433637709627, Std: 0.180050704053151
Mean: 12.547302910574349, Std: 0.14406033425575526
Mean: 12.45374280116684, Std: 0.1949995172747674
Mean: 12.484193379765609, Std: 0.11991955527415499
Mean: 12.720812712308357, Std: 0.16182824187884912
Mean: 12.494526414047957, Std: 0.18410611060986268
Mean: 12.384209807671912, Std: 0.1600536201983168
Mean: 12.508599724617056, Std: 0.16621443703008318
Mean: 12.613683393708067, Std: 0.20025843320178882
Mean: 12.58914255323523, Std: 0.17659488586390104
Mean: 12.548583758837761, Std: 0.15125013133142734
Mean: 12.27177653935322, Std: 0.17666062525836201
Mean: 12.596055656481361, Std: 0.11507511852795467
Mean: 12.209440380242158, Std: 0.1827670421928076
Mean: 12.505832966430834, Std: 0.13414913183619803
Mean: 12.687298532546695, Std: 0.2125764838587056
Mean: 12.627073835637656, Std: 0.15861378127766587
Mean: 12.301447679574, Std: 0.1927927304546319
Mean: 12.801768375731205, Std: 0.19581616490709625
Mean: 12.830264618219775, Std: 0.20524465912310566
Mean: 12.833050682377547, Std: 0.19053917302187606
Mean: 12.919923006897287, Std: 0.1329859503149539
Mean: 12.961547742161414, Std: 0.12253948614371017
Mean: 12.788041970246642, Std: 0.21600120670713138
Mean: 12.593468984149322, Std: 0.13104177588921062
Mean: 12.743192772239162, Std: 0.23260895410912164
Mean: 12.252482147902196, Std: 0.22725242018797293
Mean: 12.687833753968611, Std: 0.09955214071492065
Mean: 13.262180894191056, Std: 0.28361163163759856
Mean: 13.164770723109863, Std: 0.1939467659520545
Mean: 12.70666262842607, Std: 0.14481098918243046
Mean: 13.102578307906146, Std: 0.25107419399312036
Mean: 13.265234129832104, Std: 0.10868015574617595
Mean: 12.838838581223783, Std: 0.14566240289564922
Mean: 12.744956766190352, Std: 0.1871132624296996
Mean: 12.843375635336452, Std: 0.17267695710569145
Mean: 12.66322636763818, Std: 0.22984979332482594
Mean: 12.806804474826459, Std: 0.1819328979078264
Mean: 13.234614717892294, Std: 0.131682642055259
Mean: 12.788278860628505, Std: 0.13944479444942934
Mean: 13.200610294511435, Std: 0.2247845386590773
Mean: 13.124167941376745, Std: 0.1594620409515934
Mean: 13.277997423026, Std: 0.22746927345666443
Mean: 13.257115749264111, Std: 0.15229461276580317
Mean: 13.170712158489403, Std: 0.15049557912208386
Mean: 13.3965688349459, Std: 0.14516046919555167
Mean: 13.247904112912732, Std: 0.2508263852629296
Mean: 13.457704942605229, Std: 0.181876145157293
Mean: 13.258722731280368, Std: 0.16332967342677485
Mean: 13.249065324228326, Std: 0.22118632777926106
Mean: 13.181185000503788, Std: 0.13618182237271184
Mean: 13.163783117186759, Std: 0.20876332894462088
Mean: 13.2855103222932, Std: 0.16223397912810741
Mean: 13.246280100712308, Std: 0.14289591428257378
Mean: 12.927660162313694, Std: 0.10908251016824787
Mean: 13.38878108757832, Std: 0.1714643410961467
Mean: 13.055378685239873, Std: 0.20230913325365898
Mean: 13.392347433210418, Std: 0.21063358865065662
Mean: 12.975913466252667, Std: 0.19370183691382856
Mean: 13.67658670032111, Std: 0.15847225190702122
Mean: 13.408087217657393, Std: 0.1672674355097824
Mean: 13.515961521665284, Std: 0.21926105272028112
Mean: 13.204272519367947, Std: 0.19243206945065086
Mean: 13.180813093387963, Std: 0.1566413014064043
Mean: 13.371974677541619, Std: 0.16928954139639993
Mean: 13.31022585739197, Std: 0.1399561662918072
Mean: 13.405708974323272, Std: 0.17829899314783643
Mean: 13.506671504487972, Std: 0.1717343451637845
Mean: 13.638988322408768, Std: 0.2319459371695055
Mean: 13.089715079018296, Std: 0.13678865159911233
Mean: 13.376404658327909, Std: 0.23833255750884724
Mean: 13.494272186426931, Std: 0.12165424336148102
Mean: 13.37022372678957, Std: 0.18873161657573
Mean: 13.67786457914509, Std: 0.1401150029090149
Mean: 13.397763154905718, Std: 0.1348027787426946
Mean: 13.503064174520826, Std: 0.17098289302116082
Mean: 13.581103208820826, Std: 0.19436018814703604
