[1][205/1410] acc_real: 0.0078125, acc_fake: NA
[1][206/1410] acc_real: 0.0, acc_fake: NA
[1][207/1410] acc_real: 0.0078125, acc_fake: NA
[1][208/1410] acc_real: 0.0078125, acc_fake: NA
[1][209/1410] acc_real: 0.0, acc_fake: NA
[1][210/1410] acc_real: 0.0, acc_fake: NA
[1][211/1410] acc_real: 0.0, acc_fake: NA
[1][212/1410] acc_real: 0.0, acc_fake: NA
[1][213/1410] acc_real: 0.0, acc_fake: NA
[1][214/1410] acc_real: 0.0, acc_fake: NA
[1][215/1410] acc_real: 0.0078125, acc_fake: NA
[1][216/1410] acc_real: 0.0, acc_fake: NA
[1][217/1410] acc_real: 0.0234375, acc_fake: NA
[1][218/1410] acc_real: 0.015625, acc_fake: NA
[1][219/1410] acc_real: 0.015625, acc_fake: NA
[1][220/1410] acc_real: 0.0078125, acc_fake: NA
[1][221/1410] acc_real: 0.0, acc_fake: NA
[1][222/1410] acc_real: 0.0, acc_fake: NA
[1][223/1410] acc_real: 0.0078125, acc_fake: NA
[1][224/1410] acc_real: 0.0, acc_fake: NA
[1][225/1410] acc_real: 0.015625, acc_fake: NA
[1][226/1410] acc_real: 0.015625, acc_fake: NA
[1][227/1410] acc_real: 0.015625, acc_fake: NA
[1][228/1410] acc_real: 0.0078125, acc_fake: NA
[1][229/1410] acc_real: 0.0, acc_fake: NA
[1][230/1410] acc_real: 0.015625, acc_fake: NA
[1][231/1410] acc_real: 0.0, acc_fake: NA
[1][232/1410] acc_real: 0.0, acc_fake: NA
[1][233/1410] acc_real: 0.0, acc_fake: NA
[1][234/1410] acc_real: 0.0078125, acc_fake: NA
[1][235/1410] acc_real: 0.0, acc_fake: NA
[1][236/1410] acc_real: 0.015625, acc_fake: NA
[1][237/1410] acc_real: 0.0, acc_fake: NA
[1][238/1410] acc_real: 0.015625, acc_fake: NA
[1][239/1410] acc_real: 0.0, acc_fake: NA
[1][240/1410] acc_real: 0.0, acc_fake: NA
[1][241/1410] acc_real: 0.0078125, acc_fake: NA
[1][242/1410] acc_real: 0.0, acc_fake: NA
[1][243/1410] acc_real: 0.015625, acc_fake: NA
[1][244/1410] acc_real: 0.0, acc_fake: NA
[1][245/1410] acc_real: 0.015625, acc_fake: NA
[1][246/1410] acc_real: 0.0, acc_fake: NA
[1][247/1410] acc_real: 0.0078125, acc_fake: NA
[1][248/1410] acc_real: 0.015625, acc_fake: NA
[1][249/1410] acc_real: 0.0, acc_fake: NA
[1][250/1410] acc_real: 0.0078125, acc_fake: NA
[1][251/1410] acc_real: 0.0078125, acc_fake: NA
[1][252/1410] acc_real: 0.0078125, acc_fake: NA
[1][253/1410] acc_real: 0.0, acc_fake: NA
[1][254/1410] acc_real: 0.0, acc_fake: NA
[1][255/1410] acc_real: 0.0, acc_fake: NA
[1][256/1410] acc_real: 0.015625, acc_fake: NA
[1][257/1410] acc_real: 0.0078125, acc_fake: NA
[1][258/1410] acc_real: 0.0, acc_fake: NA
[1][259/1410] acc_real: 0.0078125, acc_fake: NA
[1][260/1410] acc_real: 0.0078125, acc_fake: NA
[1][261/1410] acc_real: 0.0234375, acc_fake: NA
[1][262/1410] acc_real: 0.0, acc_fake: NA
[1][263/1410] acc_real: 0.0078125, acc_fake: NA
[1][264/1410] acc_real: 0.0, acc_fake: NA
[1][265/1410] acc_real: 0.0, acc_fake: NA
[1][266/1410] acc_real: 0.015625, acc_fake: NA
[1][267/1410] acc_real: 0.0078125, acc_fake: NA
[1][268/1410] acc_real: 0.015625, acc_fake: NA
[1][269/1410] acc_real: 0.0, acc_fake: NA
[1][270/1410] acc_real: 0.0078125, acc_fake: NA
[1][271/1410] acc_real: 0.0234375, acc_fake: NA
[1][272/1410] acc_real: 0.0078125, acc_fake: NA
[1][273/1410] acc_real: 0.0, acc_fake: NA
[1][274/1410] acc_real: 0.0, acc_fake: NA
[1][275/1410] acc_real: 0.0234375, acc_fake: NA
[1][276/1410] acc_real: 0.0078125, acc_fake: NA
[1][277/1410] acc_real: 0.015625, acc_fake: NA
[1][278/1410] acc_real: 0.0234375, acc_fake: NA
[1][279/1410] acc_real: 0.015625, acc_fake: NA
[1][280/1410] acc_real: 0.0078125, acc_fake: NA
[1][281/1410] acc_real: 0.0, acc_fake: NA
[1][282/1410] acc_real: 0.0078125, acc_fake: NA
[1][283/1410] acc_real: 0.0078125, acc_fake: NA
[1][284/1410] acc_real: 0.0078125, acc_fake: NA
[1][285/1410] acc_real: 0.0078125, acc_fake: NA
[1][286/1410] acc_real: 0.015625, acc_fake: NA
[1][287/1410] acc_real: 0.0, acc_fake: NA
[1][288/1410] acc_real: 0.0078125, acc_fake: NA
[1][289/1410] acc_real: 0.0234375, acc_fake: NA
